,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
93,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1433,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,86,104*
94,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1443,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,87,106*
95,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1453,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,88,108*
96,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1503,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,89,105*
97,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1513,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,90,98*
98,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1523,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,91,100*
99,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1533,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,92,102*
100,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1543,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,93,104*
101,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1553,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,94,106*
102,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1603,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,95,103*
103,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1613,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,96,105*
104,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1623,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,97,107*
105,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1633,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,98,109*
106,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1723,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,103,96*
107,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1733,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,104,98*
108,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1743,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,105,100*
109,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1753,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,106,102*
110,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1803,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,107,99*
111,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1813,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,108,101*
112,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1823,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,109,103*
113,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1833,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,110,96*
114,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1843,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,111,98*
